id,figureNum,matchedFigure,storedAnswer,visionAnswer,answerChanged,confidence,status,question
688,"16","3-16","A","A",,"high","matched","(Refer to Figure 16.) Which of the antennas shown is a typical glideslope antenn"
689,"31","3-31","B","B",,"medium","matched","(Refer to Figure 31.) What kind of antenna is this?"
690,"22","3-22","B","B",,"medium","matched","(Refer to Figure 22.) What kind of antenna is this?"
691,"32","3-32","B","B",,"medium","matched","(Refer to Figure 32.) What kind of antenna is this?"
692,"33","3-33","A","A",,"medium","matched","(Refer to Figure 33.) What kind of antenna is this?"
693,"34","3-34","A","B",YES,"medium","matched","(Refer to Figure 34.) What kind of antenna is this?"
694,"23","3-23","A","B",YES,"medium","matched","(Refer to Figure 23.) What is this antenna used for?"
695,"24","3-24","A","B",YES,"medium","matched","(Refer to Figure 24.) What kind of antenna is this?"
696,"25","3-25","A","C",YES,"high","matched","(Refer to Figure 25.) What kind of antenna is this?"
697,"26","3-26","A","C",YES,"medium","matched","(Refer to Figure 26.) Where is the strongest signal for this antenna?"
698,"27","3-27","B","B",,"medium","matched","(Refer to Figure 27.) What kind of antenna is this?"
699,"28","3-28","A","C",YES,"medium","matched","(Refer to Figure 28.) What kind of antenna is this?"
700,"29","3-29","B","B",,"high","matched","(Refer to Figure 29.) What kind of antenna is this?"
701,"30","3-30","A","B",YES,"medium","matched","(Refer to Figure 30.) What kind of antenna is this?"
704,"6","2-6","A","B",YES,"high","matched","(Refer to Figure 6.) Which curve most nearly represents an aircraft engine's air"
713,"17","3-17","C","C",,"medium","matched","(Refer to Figure 17.) What is the purpose of the pump crossfeed valve?"
926,"19","","C","",,"","vision-failed","(Refer to Figure 19.) Upon completion of the landing gear extension cycle, the g"
968,"19","","A","",,"","vision-failed","(Refer to Figure 19.) What is the indication of the red landing gear position li"
969,"19","","A","",,"","vision-failed","(Refer to Figure 19). Which repair should be made if the gear switch was placed "
971,"20","","A","",,"","vision-failed","(Refer to Figure 20.) What will illuminate the amber indicator light?"
972,"20","3-20","C","C",,"high","matched","(Refer to Figure 20.) What is the minimum circumstance that will cause the landi"
1038,"21","3-21","A","A",,"high","matched","(Refer to Figure 21.) Determine what pressure is acceptable for a fire extinguis"
